1;Tubes_acier;10;1;0.5
2;Tubes_acier;9;2;0.7
3;Tubes_acier;7.5;1.2;0.4
4;Acide_chlorhydrique;1;1;1
5;Godet_pelleteuse;2;2;1
6;Rails_;11;1;0.2
7;Tubes_PVC;3;2;0.6
8;Echaffaudage;3;1.3;1.8
9;Verre;3;2.1;0.6
10;Ciment;4;1;0.5
11;Bois_vrac;5;0.8;1
12;Troncs_chenes;6;1.9;1
13;Troncs_hetres;7;1.6;1.5
14;Pompe_a_chaleur;5;1.1;2.3
15;Cuivre;6;2;1.4
16;Zinc;5;0.8;0.8
17;Papier;4;1.6;0.6
18;Carton;7;1;1.3
19;Verre_blanc_vrac;9;0.9;2.2
20;Verre_brun_vrac;3;1.6;0.9
21;Briques_rouges;5;1.1;2.4
22;Pieces_metalliques;6;1.6;1.4
23;Pieces_metalliques;7;0.9;1.2
24;Pieces_metalliques;3;1.6;1.9
25;Ardoises;1;1.8;1
26;Tuiles;2;1.2;2.3
27;Vitraux;4;0.7;1.2
28;Carrelage;6;1.2;2.5
29;Toles;7;0.6;1.5
30;Toles;9;1.7;1
31;Toles;6;1.9;1.6
32;Toles;3;2.2;2.2
33;Toles;3;0.5;2.2
34;Mobilier_urbain;4;0.7;1.9
35;Lin_;5;2.2;0.7
36;Textiles_a_recycler;6;1.3;2.5
37;Aluminium;6;1.3;1.2
38;Batteries_automobile;7;1.4;2.5
39;Quincaillerie;6;1.1;1
40;Treuil;7;0.9;1.3
41;Treuil;8;0.5;0.5
42;Acier_;8;0.9;1.7
43;Laine_de_bois;8;0.9;1.8
44;Ouate_de_cellusose;5;1.7;1.2
45;Chanvre_isolation;2.2;1.6;1.1
46;Moteur_electrique;4.2;1.5;0.8
47;Semi_conducteurs;3.7;0.9;1.4
48;Semi_conducteurs;5.6;0.5;1.4
49;Semi_conducteurs;4.9;0.9;2.5
50;Semi_conducteurs;8.7;1.3;1.3
51;Semi_conducteurs;6.1;2.2;2.3
52;Semi_conducteurs;3.3;1.8;2.3
53;Semi_conducteurs;2.6;1.6;2.3
54;Semi_conducteurs;2.9;1.6;2
55;Aluminium;2;1.1;0.6
56;Aluminium;3;0.6;1.2
57;Aluminium;6;1;0.8
58;Aluminium;5;1.3;0.6
59;Aluminium;4;2.1;2.1
60;Aluminium;6;1.5;1.9
61;Aluminium;4;0.8;2.1
62;Aluminium;2;2;2.3
63;Aluminium;4;1;1.1
64;Aluminium;6;1.8;1.1
65;Lithium;6;1.9;0.9
66;Lithium;3;2;2.2
67;Lithium;4;1.5;0.9
68;Lithium;4;2.1;2.5
69;Lithium;2;1.2;1.5
70;Lithium;6;1.3;2
71;Lithium;2;0.8;1.1
72;Contreplaque;4;1.4;2
73;Contreplaque;5;0.6;0.5
74;Contreplaque;5;0.6;1.8
75;Contreplaque;4;0.7;1.4
76;Contreplaque;6;0.5;0.7
77;Contreplaque;3;1.5;1.8
78;Contreplaque;3;1.4;2
79;Contreplaque;3;2;2.3
80;Contreplaque;5;1.5;0.7
81;Contreplaque;5;2.2;0.5
82;Contreplaque;6;1.2;1.2
83;Poutre;5;0.8;0.7
84;Poutre;3;0.5;1.9
85;Poutre;5;1.4;0.7
86;Poutre;6;0.7;0.7
87;Poutre;6;1.2;2
88;Poutre;3;1.7;1.1
89;Poutre;5;1.6;2.1
90;Pneus;3;1.3;1.7
91;Pneus;4;1.5;1.7
92;Pneus;3;1.5;1.9
93;Pneus;3;0.6;1.9
94;Pneus;5;1.8;0.5
95;Pneus;3;1.8;0.7
96;Pneus;4;1.7;1.4
97;Pneus;4;1.5;0.5
98;Pneus;2;2.1;1.8
99;Pneus;2;0.7;1.1
100;Pneus;6;1.2;1.3
